index_x,index_x,tweet_id,timestamp,source,expanded_urls,rating_numerator,rating_denominator,name,doggo,floofer,pupper,puppo,index_y,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,index_y,favorite_count,retweet_count
0,1,892177421306343426,2017-08-01 00:17:27 +0000,Twitter for Iphone,https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,None,None,None,None,2073,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,chihuahua,32.36,True,pekinese,9.06,True,papillon,6.9,True,2056,29812,5376
1,2,891815181378084864,2017-07-31 00:18:03 +0000,Twitter for Iphone,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,None,None,None,None,2072,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,chihuahua,71.6,True,malamute,7.83,True,kelpie,3.14,True,2055,22424,3541
2,3,891689557279858688,2017-07-30 15:58:51 +0000,Twitter for Iphone,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,None,None,None,None,2071,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,paper_towel,17.03,False,labrador_retriever,16.81,True,spatula,4.08,False,2054,37563,7350
3,4,891327558926688256,2017-07-29 16:00:24 +0000,Twitter for Iphone,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,Franklin,None,None,None,None,2070,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset,55.57,True,english_springer,22.58,True,german_short-haired_pointer,17.52,True,2053,35888,7896
4,5,891087950875897856,2017-07-29 00:08:17 +0000,Twitter for Iphone,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,None,None,None,None,None,2069,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,chesapeake_bay_retriever,42.56,True,irish_terrier,11.63,True,indian_elephant,7.69,False,2052,18113,2656
5,6,890971913173991426,2017-07-28 16:27:12 +0000,Twitter for Iphone,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,Jax,None,None,None,None,2068,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,appenzeller,34.17,True,border_collie,19.93,True,ice_lolly,19.35,False,2051,10545,1703
6,7,890729181411237888,2017-07-28 00:22:40 +0000,Twitter for Iphone,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,None,None,None,None,None,2067,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,pomeranian,56.61,True,eskimo_dog,17.84,True,pembroke,7.65,True,2050,57821,16067
7,8,890609185150312448,2017-07-27 16:25:51 +0000,Twitter for Iphone,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,None,None,None,None,2066,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,irish_terrier,48.76,True,irish_setter,19.31,True,chesapeake_bay_retriever,11.82,True,2049,24944,3685
8,9,890240255349198849,2017-07-26 15:59:51 +0000,Twitter for Iphone,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,doggo,None,None,None,2065,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,pembroke,51.13,True,cardigan,45.1,True,chihuahua,2.92,True,2048,28415,6201
9,10,890006608113172480,2017-07-26 00:31:25 +0000,Twitter for Iphone,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",13,10,Koda,None,None,None,None,2064,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,samoyed,95.8,True,pomeranian,1.39,True,chow,0.82,True,2047,27454,6259
